,play_maker,player_team,Week,Zone,Yards,Long,rush_attempts,rush_touchdown,Rec_Yards,pass_touchdown,Rec,Tgt
0,A.Abdullah,MIN,1,Other,8,6,2,0.0,,,,
1,A.Abdullah,MIN,2,Other,2,2,1,0.0,,,,
2,A.Abdullah,MIN,5,Other,25,15,2,0.0,,,,
3,A.Abdullah,MIN,5,Red Zone,-1,-1,1,0.0,,,,
4,A.Abdullah,MIN,9,Other,2,2,1,0.0,,,,
5,A.Abdullah,MIN,11,Other,5,5,1,0.0,22.0,0.0,4.0,4.0
6,A.Abdullah,MIN,15,Other,25,11,5,0.0,0.0,0.0,0.0,4.0
7,A.Abdullah,MIN,16,Other,27,14,4,0.0,62.0,0.0,12.0,14.0
8,A.Abdullah,MIN,17,Other,8,3,4,0.0,28.0,0.0,6.0,6.0
9,A.Abdullah,MIN,17,Red Zone,14,11,2,0.0,0.0,0.0,0.0,2.0
10,A.Armah,CAR,1,Inside the 5,1,1,1,1.0,,,,
11,A.Armah,CAR,3,Other,4,4,1,0.0,4.0,0.0,2.0,2.0
12,A.Armah,CAR,6,Other,4,3,2,0.0,,,,
13,A.Armah,CAR,12,Inside the 5,0,0,1,0.0,,,,
14,A.Armah,CAR,13,Other,2,2,1,0.0,,,,
15,A.Beck,DEN,16,Other,3,3,1,0.0,,,,
16,A.Brown,NE,2,Other,5,5,1,0.0,56.0,0.0,4.0,6.0
17,A.Brown,TEN,7,Other,-2,-2,1,0.0,106.0,0.0,10.0,14.0
18,A.Brown,TEN,14,Other,13,13,1,0.0,274.0,2.0,8.0,12.0
19,A.Brown,TEN,16,Other,49,49,1,1.0,68.0,0.0,2.0,4.0
20,A.Cooper,DAL,17,Other,6,6,1,0.0,184.0,0.0,8.0,10.0
21,A.Dalton,CIN,2,Other,2,2,2,0.0,,,,
22,A.Dalton,CIN,3,Inside the 5,1,1,1,1.0,,,,
23,A.Dalton,CIN,4,Other,8,4,3,0.0,,,,
24,A.Dalton,CIN,5,Other,0,0,1,0.0,,,,
25,A.Dalton,CIN,5,Red Zone,5,5,1,0.0,,,,
26,A.Dalton,CIN,6,Inside the 5,2,2,1,1.0,,,,
27,A.Dalton,CIN,7,Inside the 5,1,1,1,1.0,,,,
28,A.Dalton,CIN,7,Other,32,17,3,0.0,,,,
29,A.Dalton,CIN,8,Other,4,4,1,0.0,-8.0,0.0,2.0,2.0
30,A.Dalton,CIN,13,Other,2,2,1,0.0,,,,
31,A.Dalton,CIN,14,Inside the 5,2,2,1,0.0,,,,
32,A.Dalton,CIN,14,Other,6,6,1,0.0,,,,
33,A.Dalton,CIN,14,Red Zone,3,3,1,0.0,,,,
34,A.Dalton,CIN,15,Other,2,2,1,0.0,,,,
35,A.Dalton,CIN,16,Inside the 5,2,2,1,0.0,,,,
36,A.Dalton,CIN,17,Inside the 5,5,5,1,1.0,,,,
37,A.Dalton,CIN,17,Other,10,7,4,0.0,,,,
38,A.Ekeler,LAC,1,Other,52,19,10,0.0,190.0,2.0,10.0,12.0
39,A.Ekeler,LAC,1,Red Zone,6,7,2,1.0,,,,
40,A.Ekeler,LAC,2,Inside the 5,1,2,3,1.0,,,,
41,A.Ekeler,LAC,2,Other,65,12,14,0.0,134.0,0.0,12.0,12.0
42,A.Ekeler,LAC,3,Other,32,11,8,0.0,82.0,0.0,12.0,12.0
