Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College,Merge Name,Team,Year
QB,Kyler Murray,1,77,#27 QB,"5'10""",207,22,8/6/97,2,2019,1,1,Oklahoma,K.Murray,Arizona Cardinals,2020
QB,Drew Anderson,3,70,#62 QB,"6'4""",223,24,10/17/95,1,2019,,,Murray State,D.Anderson,Arizona Cardinals,2020
QB,Brett Hundley,7,67,#120 QB,"6'3""",226,27,6/14/93,6,2015,5,147,UCLA,B.Hundley,Arizona Cardinals,2020
RB,Kenyan Drake,41,82,#36 RB,"6'1""",210,26,1/25/94,5,2016,3,73,Alabama,K.Drake,Arizona Cardinals,2020
RB,Chase Edmonds,29,74,#128 RB,"5'9""",205,24,4/12/96,3,2018,4,134,Fordham,C.Edmonds,Arizona Cardinals,2020
RB,Eno Benjamin,26,67,#304 RB,"5'9""",207,21,4/12/99,0,2020,7,222,Arizona State,E.Benjamin,Arizona Cardinals,2020
WR,DeAndre Hopkins,10,96,#4 WR,"6'1""",214,28,6/5/92,7,2013,1,27,Clemson,D.Hopkins,Arizona Cardinals,2020
WR,Larry Fitzgerald,11,85,#34 WR,"6'3""",218,36,8/30/83,17,2004,1,3,Pittsburgh,L.Fitzgerald,Arizona Cardinals,2020
WR,Christian Kirk,13,76,#113 WR,"5'10""",201,23,11/17/96,3,2018,2,47,Texas A&M,C.Kirk,Arizona Cardinals,2020
WR,A.J. Richardson,83,74,#160 WR,"6'0""",212,25,6/1/95,1,2019,,,Boise State,A.Richardson,Arizona Cardinals,2020
WR,Johnnie Dixon,10,74,#160 WR,"5'10""",201,25,9/15/94,1,2019,,,Ohio State,J.Dixon,Arizona Cardinals,2020
WR,Andy Isabella,89,72,#229 WR,"5'9""",188,23,11/17/96,2,2019,2,62,Massachusetts,A.Isabella,Arizona Cardinals,2020
WR,Keesean Johnson,19,70,#285 WR,"6'1""",201,23,10/8/96,2,2019,6,174,Fresno State,K.Johnson,Arizona Cardinals,2020
WR,Hakeem Butler,17,68,#427 WR,"6'5""",227,24,5/15/96,2,2019,4,103,Iowa State,H.Butler,Arizona Cardinals,2020
WR,Trent Sherfield,16,68,#427 WR,"6'0""",200,24,2/25/96,3,2018,,,Vanderbilt,T.Sherfield,Arizona Cardinals,2020
WR,Jermiah Braswell,,67,#556 WR,"6'0""",210,,,0,2020,,,Youngstown State,J.Braswell,Arizona Cardinals,2020
WR,Shane Leatherbury,,67,#556 WR,"5'9""",181,,,0,2020,,,Towson,S.Leatherbury,Arizona Cardinals,2020
WR,JoJo Ward,,67,#556 WR,,175,,,0,2020,,,Hawaii,J.Ward,Arizona Cardinals,2020
WR,Rashad Medaris,,67,#556 WR,"5'10""",174,,,0,2020,,,Cincinnati,R.Medaris,Arizona Cardinals,2020
WR,Devin Phelps,,67,#556 WR,"6'1""",190,,,0,2020,,,Shepherd,D.Phelps,Arizona Cardinals,2020
WR,DJ Foster,37,67,#556 WR,"5'10""",193,26,11/21/93,5,2016,,,Arizona State,D.Foster,Arizona Cardinals,2020
TE,Maxx Williams,87,79,#35 TE,"6'4""",249,26,4/11/94,6,2015,2,55,Minnesota,M.Williams,Arizona Cardinals,2020
TE,Dan Arnold,82,71,#145 TE,"6'5""",225,25,3/14/95,4,2017,,,Wis.-Platteville,D.Arnold,Arizona Cardinals,2020
TE,Ryan Becker,,67,#282 TE,"6'4""",249,,,0,2020,,,,R.Becker,Arizona Cardinals,2020
TE,Parker Houston,,67,#282 TE,"6'2""",250,22,12/5/97,0,2020,,,San Diego State,P.Houston,Arizona Cardinals,2020
TE,Darrell Daniels,81,67,#282 TE,"6'3""",235,25,11/21/94,4,2017,,,Washington,D.Daniels,Arizona Cardinals,2020
C,Lamont Gaillard,65,75,#29 C,"6'3""",305,24,2/7/96,2,2019,6,179,Georgia,L.Gaillard,Arizona Cardinals,2020
C,Mason Cole,52,67,#91 C,"6'4""",307,24,3/27/96,3,2018,3,97,Michigan,M.Cole,Arizona Cardinals,2020
C,Max Garcia,73,67,#91 C,"6'4""",309,28,11/8/91,6,2015,4,133,Florida,M.Garcia,Arizona Cardinals,2020
OG,JR Sweezy,64,74,#49 OG,"6'5""",295,31,4/7/89,9,2012,7,225,North Carolina State,J.Sweezy,Arizona Cardinals,2020
OG,Sam Jones,70,69,#77 OG,"6'5""",305,24,2/20/96,2,2018,6,183,Arizona State,S.Jones,Arizona Cardinals,2020
